PM10,NO,NO2,NH3,SO2,CO,Ozone,Benzene,Toluene,PM2.5
45.71,11.83,15.98,11.15,12.91,0.75,27.26,0.41,1.46,38.71
49.52,11.91,15.58,11.53,12.26,0.73,26.71,0.42,1.44,42.52
50.28,12.05,16.22,11.31,11.76,0.73,27.54,0.41,1.43,43.28
48.31,12.34,15.82,11.24,11.26,0.75,26.96,0.41,1.44,41.31
44.11,12.18,16.13,11,9.62,0.75,26.45,0.4,1.45,37.11
48.98,12.04,16.12,11.32,8.39,0.74,27.21,0.41,1.48,41.98
39.28,12.02,16.21,11.29,8.75,0.73,27.32,0.41,1.48,32.28
37.01,12.06,15.91,11.18,7.35,0.73,27.21,0.42,1.48,30.01
36.77,12.18,15.81,11.08,10.34,0.75,27.73,0.41,1.47,29.77
33.88,12.08,15.88,11.2,10.23,0.73,27.73,0.41,1.47,26.88
37.18,11.73,16.59,11.5,9.85,0.72,27.28,0.42,1.46,30.18
36.88,11.74,16.05,11.24,10.38,0.74,27.42,0.42,1.45,29.88
41.7,12.2,15.89,11.2,9.86,0.75,27.23,0.4,1.44,34.7
45.62,11.97,16.04,11.47,9.64,0.74,26.99,0.42,1.44,38.62
55.21,11.6,15.9,11.28,8.52,0.76,27.54,0.41,1.43,48.21
57.75,11.71,16.38,11.46,8.7,0.73,27.54,0.41,1.47,50.75
57.26,12.15,15.72,11.25,14.55,0.72,27.7,0.41,1.46,50.26
54.78,11.86,15.97,11.51,15.45,0.74,27.86,0.42,1.46,47.78
57.07,11.89,15.77,11.14,15.96,0.74,27.84,0.42,1.45,50.07
46.24,12.05,16.23,11.34,15.21,0.73,27.18,0.41,1.47,39.24
44.88,11.99,16.3,11.25,12.78,0.73,27.5,0.41,1.48,37.88
42.35,11.92,16.06,11.26,13.75,0.74,27.95,0.41,1.46,35.35
37.43,11.93,16.1,11.33,12.7,0.72,27.36,0.41,1.46,30.43
43.39,12.05,16.16,11.49,11.95,0.73,27.21,0.41,1.44,36.39
37.07,12,15.79,11.24,7.24,0.73,27.54,0.42,1.43,30.07
42.75,11.81,16.37,11.37,6.67,0.74,27.24,0.41,1.47,35.75
40.34,11.75,15.84,11.23,7.52,0.74,27.36,0.41,1.45,33.34
35.89,12.12,15.86,11.46,7.11,0.75,27.23,0.4,1.44,28.89
35.7,11.96,15.69,11.34,12.07,0.73,28.74,0.41,1.45,25.46
29.82,12.18,16.58,11.21,15.61,0.73,30.77,0.41,1.47,17.82
33.76,11.65,15.9,11.33,19.3,0.75,31.46,0.42,1.45,21.75
33.62,12.23,15.97,11.31,19.59,0.73,28.85,0.4,1.46,21.62
29.63,12.11,16.53,11.27,9.26,0.73,30.02,0.42,1.44,21.36
35.73,11.93,16.52,11.28,9.1,0.73,27.65,0.41,1.45,27.73
34.8,12.18,15.84,11.33,9.43,0.75,27.79,0.41,1.46,26.8
36.81,12.24,15.93,11.48,11.55,0.71,27.97,0.4,1.41,28.81
45.52,11.8,16.15,11.26,14.06,0.75,27.91,0.4,1.45,37.52
43.9,11.98,16,11.27,13.75,0.74,27.46,0.42,1.46,35.9
50.35,12,15.75,10.98,13.59,0.72,27.06,0.4,1.45,42.35
48.39,11.98,15.93,11.43,12.91,0.75,27.67,0.41,1.49,40.39
46.09,11.93,15.78,11.39,8.88,0.72,27.45,0.41,1.46,38.09
47.97,11.73,15.81,11.46,8.68,0.73,27.58,0.41,1.46,39.97
47.48,12.01,16.12,11.22,9.03,0.75,27.05,0.41,1.42,39.48
45.02,12.02,15.82,11.43,8.47,0.75,26.71,0.42,1.45,37.02
43.49,12.11,15.92,11.36,12.99,0.73,27.6,0.42,1.46,35.49
53.63,11.91,15.94,11.31,13.67,0.74,27.5,0.41,1.44,45.63
49.88,12.14,15.47,11.34,13.1,0.74,27.04,0.41,1.47,41.88
44.71,12.19,15.7,11.4,11.52,0.74,27.15,0.41,1.46,36.71
47.61,12.16,15.76,11.39,8.43,0.73,27.23,0.41,1.44,39.61
50.69,12.2,16.5,11.26,8.51,0.73,27.68,0.41,1.43,42.69
55.48,11.13,16.58,10.84,8.59,0.73,21.92,0.42,1.52,47.48
52.3,12.43,15.75,11.18,14.56,0.75,26.2,0.41,1.48,44.3
117.83,12.12,16.52,11.27,None,0.73,20.14,0.39,1.44,109.83
99.82,11.45,15.68,None,None,0.74,12.48,0.39,1.47,91.47
76.75,12.11,16,None,None,0.74,11.22,0.43,1.43,68.44
54.47,12.05,15.5,11.18,6.67,0.74,26.77,0.4,1.48,46.47
34.47,11.95,15.99,11.49,5.28,0.74,32.48,0.41,1.48,26.47
31.39,11.93,15.62,11.42,5.29,0.73,28.35,0.4,1.43,23.39
32.15,12.48,15.79,11.45,8.17,0.76,27.98,0.41,1.43,24.16
30.87,12.03,15.98,11.23,7.88,0.74,28.68,0.4,1.48,22.87
32.59,11.87,16.18,11.27,7.23,0.73,27.85,0.42,1.45,24.58
44.71,12.3,16.02,11.55,6.06,0.75,27.25,0.42,1.47,36.71
49.97,11.89,16.16,11.21,7.57,0.73,27.77,0.41,1.45,41.97
54.95,11.91,15.89,11.25,7.24,0.73,27.44,0.42,1.41,46.95
56.19,12,15.92,11.38,6.33,0.74,27.37,0.42,1.46,48.19
55.52,12,16.08,11.13,6.47,0.74,27.26,0.41,1.47,47.52
59.53,11.95,16.26,11.4,7.78,0.74,27.73,0.41,1.46,51.53
54.78,12.12,16.03,11.18,7.22,0.75,27.24,0.41,1.44,46.78
57.48,12.13,16.09,11.41,6.5,0.75,27.45,0.41,1.44,49.48
52.72,11.92,16.24,11.3,7.06,0.73,27.18,0.41,1.45,44.72
56.45,12.41,16.35,11.23,11.5,0.76,27.23,0.42,1.47,48.45
49.68,12.01,16.07,11.22,9.28,0.74,27.42,0.41,1.42,41.68
54.68,12.16,15.53,11.28,8.46,0.75,27.39,0.42,1.46,46.68
56.38,11.67,16.12,11.29,7.62,0.72,27.25,0.41,1.46,48.38
49.84,12.12,15.72,11.45,13.16,0.75,27.46,0.4,1.44,41.84
51.4,12.12,15.99,11.17,13.21,0.75,27.41,0.41,1.46,43.4
47.38,12.01,15.95,11.51,13.93,0.75,30.36,0.41,1.45,30.1
38.93,12.38,15.46,11.38,12.5,0.75,28.08,0.4,1.5,14.93
41.86,11.98,16.2,11.13,10.67,0.74,27.71,0.42,1.47,22.19
51.47,11.82,16.25,11.41,10.22,0.74,27.66,0.41,1.47,32.47
35.54,12,16.37,11.38,11.56,0.74,27.34,0.42,1.43,16.54
41.68,12.25,16.05,11.18,11.95,0.75,27.35,0.41,1.45,22.68
42.89,12.16,16.09,11.29,11.03,0.76,27.06,0.41,1.45,23.89
40.24,11.89,15.8,11.41,11.69,0.75,27.91,0.4,1.46,21.24
48.51,11.85,16.18,11.5,11.52,0.74,27.48,0.41,1.47,29.51
51.75,12.06,15.67,11.46,10.31,0.73,27.42,0.42,1.47,32.75
56.52,12.21,16.28,11.4,10.29,0.73,27.6,0.41,1.46,37.52
65.29,12.18,15.8,11.46,10.78,0.72,27.96,0.41,1.42,46.29
75.04,12.08,15.97,11.27,9.84,0.74,27.34,0.42,1.43,56.04
73.74,12.19,16.1,11.33,10.14,0.73,27.56,0.41,1.47,54.74
70.22,11.86,16,11.39,12.09,0.74,27.58,0.41,1.42,51.22
69.9,11.66,16.04,11.29,12.76,0.73,27.46,0.41,1.45,50.9
68.77,12.14,15.76,11.26,11.18,0.74,26.96,0.4,1.45,49.77
67.72,11.72,16.24,11.38,7.62,0.74,27.89,0.41,1.44,48.72
69.69,12.23,16.25,11.27,9.66,0.74,27.07,0.41,1.43,50.69
70.87,11.65,16.1,11.17,7.22,0.72,27.39,0.41,1.43,51.87
68.88,12.11,15.94,11.15,5.86,0.74,27.45,0.42,1.49,49.89
73.91,12.08,15.38,11.45,6.12,0.72,27.41,0.41,1.43,54.91
80.83,12.19,16.24,11.1,11.43,0.72,27.05,0.41,1.42,61.83
74.98,11.85,15.72,11.4,11.5,0.75,27.41,0.41,1.46,55.98
70.48,11.77,16.09,11.31,10.75,0.74,29.31,0.41,1.48,51.48
70.4,12.16,16.03,11.31,8.89,0.73,27.38,0.4,1.44,51.4
63.76,12.06,15.99,11.35,12.71,0.73,27.69,0.41,1.47,44.76
58.86,11.93,15.78,11.31,7.56,0.76,27.56,0.41,1.42,39.86
51.33,12.36,15.61,11.23,8.37,0.75,27.3,0.4,1.46,32.33
49.25,11.89,16.19,11.41,7.92,0.73,27.37,0.41,1.44,30.25
59.09,12.1,15.69,11.26,11.52,0.74,27.64,0.41,1.43,40.09
56.13,12.16,15.67,11.44,11.54,0.73,27.59,0.43,1.46,37.13
63.87,12.03,16.5,11.29,9.82,0.73,27.58,0.41,1.46,44.87
82.29,11.96,16.14,11.35,10.71,0.73,27.67,0.41,1.44,63.29
88.81,12.2,16.07,11.19,12.32,0.74,27.33,0.4,1.46,69.81
94.34,12.22,16.2,11.21,12.61,0.74,27.18,0.41,1.44,75.34
93.2,12.07,15.72,11.44,12.85,0.73,27.52,0.42,1.45,74.2
85.94,12.23,15.87,11.27,13.56,0.74,27.47,0.4,1.46,66.94
77.76,11.84,15.91,11.3,13.25,0.72,27.16,0.41,1.45,58.76
84.54,12.05,16.04,11.22,11.99,0.75,26.94,0.4,1.43,65.54
