PM10,NO,NO2,NH3,SO2,CO,Ozone,Benzene,Toluene,PM2.5
40.51,9.56,17.38,9.94,5.99,0.74,20.69,0.41,1.46,24.31
50.29,9.62,17.47,9.71,7.29,0.73,20.77,0.41,1.41,30.18
56.19,9.55,17.38,9.74,4.53,0.72,20.88,0.42,1.42,33.71
58.67,9.63,17.45,9.58,5.3,0.75,20.59,0.41,1.4,35.2
54.83,9.56,17.39,9.47,6.83,0.72,20.82,0.41,1.48,32.9
52.43,9.61,17.41,9.96,7.31,0.74,21.02,0.41,1.46,31.46
53.11,9.62,17.4,9.28,7.65,0.73,20.88,0.41,1.43,31.87
50.08,9.57,17.34,9.93,6.41,0.73,20.41,0.4,1.45,30.05
49,9.62,17.39,9.8,7.2,0.78,20.32,0.41,1.44,29.4
52.3,9.58,17.36,9.24,6.8,0.73,21.21,0.42,1.44,31.38
47.84,9.59,17.34,9.74,6.87,0.74,20.2,0.41,1.46,28.7
53.48,9.59,17.36,9.47,6.68,0.74,20.24,0.41,1.44,32.09
54.26,9.6,17.4,9.78,5.26,0.75,19.96,0.41,1.48,32.55
53.38,9.67,17.39,9.87,3.96,0.75,19.59,0.41,1.42,32.03
52.12,9.67,17.45,10.12,10.67,0.75,19.91,0.41,1.44,31.27
49.82,9.58,17.46,9,8.31,0.75,20.43,0.42,1.41,29.89
47.89,9.63,17.45,9.59,8.5,0.76,20.32,0.41,1.46,28.73
51.33,9.71,17.39,9.71,8.53,0.76,21.41,0.42,1.48,30.8
50.71,9.62,17.37,9.46,5.68,0.73,20.93,0.41,1.46,30.43
50.96,9.62,17.43,9.82,4.43,0.74,20.43,0.42,1.43,30.57
48.05,9.55,17.44,9.63,5.08,0.73,20.43,0.41,1.45,28.83
44.51,9.59,17.37,9.15,5.22,0.76,20.5,0.42,1.46,26.71
50.06,9.59,17.42,9.61,6.62,0.75,20.28,0.41,1.46,30.04
55.06,9.6,17.35,8.87,5.96,0.75,21.07,0.41,1.44,33.03
56.52,9.58,17.34,9.61,8.05,0.72,20.11,0.42,1.44,33.91
60.74,9.6,17.41,9.5,8.04,0.75,20.71,0.41,1.46,36.44
59.28,9.54,17.39,9.03,4.09,0.74,20.9,0.41,1.47,35.56
63.02,9.61,17.35,8.99,4.29,0.73,20.84,0.42,1.48,37.81
59.26,9.57,17.43,10.05,4.18,0.73,20.3,0.41,1.48,35.56
57.26,9.58,17.38,10.15,4.84,0.75,20.43,0.4,1.47,34.36
51.89,9.51,17.41,9.44,2.25,0.74,20.47,0.41,1.45,31.14
49.11,9.67,17.43,9.16,1.46,0.74,20.8,0.42,1.45,29.47
46.28,9.57,17.39,9.47,1.98,0.74,21.02,0.41,1.45,27.77
43.29,9.59,17.45,9.36,1.25,0.74,20.18,0.41,1.48,25.98
44.62,9.63,17.41,9.62,5.42,0.74,20.59,0.42,1.42,26.77
52.62,9.64,17.44,9.26,3.04,0.75,20.59,0.41,1.46,31.57
49.18,9.62,17.32,9.33,0.02,0.75,20.71,0.41,1.46,29.51
47.4,9.67,17.36,9.78,None,0.74,20.45,0.4,1.44,28.44
48.07,9.67,17.39,9.97,5.03,0.74,20.07,0.42,1.46,28.84
44.99,9.67,17.46,9.62,3.77,0.74,20.52,0.41,1.48,26.56
42.7,9.61,17.35,9.8,3.54,0.74,21.09,0.4,1.43,25.62
42.05,9.65,17.43,9.46,3.11,0.75,20.29,0.4,1.45,25.23
38.81,9.54,17.41,9.14,7.36,0.74,20.8,0.41,1.48,23.29
41.01,9.6,17.52,9.51,8.97,0.73,20.47,0.41,1.44,24.61
38.54,9.58,17.39,9.78,8.07,0.75,20.31,0.42,1.45,23.12
36.29,9.61,17.31,9.57,6.99,0.73,20.58,0.41,1.43,21.77
37.38,9.55,17.4,9.52,5.82,0.72,20.01,0.41,1.44,22.43
41.27,9.6,17.34,8.93,6.36,0.74,20.87,0.41,1.47,24.76
46.08,9.59,17.42,9.3,8.02,0.75,21.04,0.42,1.47,27.65
51.17,9.61,17.38,9.6,8.12,0.74,20.82,0.42,1.49,30.7
55.61,9.64,17.35,9.94,4.36,0.74,20.81,0.42,1.45,33.37
58.19,9.63,17.4,9.54,6.12,0.74,20.8,0.41,1.41,34.91
61.32,9.56,17.39,9.9,5.69,0.73,20.65,0.41,1.44,36.79
61.18,9.62,17.3,9.38,6.49,0.74,20.71,0.41,1.46,36.71
60.25,9.61,17.44,10.16,8.09,0.72,20.7,0.41,1.42,36.15
63.43,9.59,17.41,9.5,8.17,0.74,20.92,0.41,1.48,38.06
70.28,9.58,17.5,9.33,8.39,0.73,20.75,0.41,1.49,42.17
77.72,9.59,17.35,9.86,8.96,0.73,20.45,0.41,1.44,46.63
78.56,9.56,17.35,9.78,3.89,0.73,20.91,0.41,1.46,47.13
81.91,9.65,17.31,9.45,3.41,0.74,20.07,0.42,1.45,49.14
68,9.57,17.44,9.42,3.45,0.71,20.84,0.42,1.46,40.8
51.92,9.64,17.4,9.85,1.32,0.74,20.43,0.42,1.48,31.16
45.1,9.66,17.36,10.24,5.87,0.74,20.3,0.4,1.46,27.06
43.87,9.64,17.46,8.78,4.03,0.72,20.54,0.41,1.45,26.32
49.17,9.61,17.45,9.99,2.48,0.74,20.01,0.42,1.45,29.52
53.51,9.7,17.35,9.92,10.38,0.73,21.35,0.42,1.43,32.11
52.49,9.63,17.42,9.55,6.18,0.73,21.16,0.41,1.42,31.49
44.6,9.62,17.45,9.42,4.6,0.75,20.09,0.42,1.42,26.76
39.95,9.59,17.38,9.26,3.86,0.74,20.47,0.41,1.45,23.97
36.48,9.65,17.43,9.76,2.79,0.74,20.81,0.41,1.42,21.89
35.02,9.62,17.42,9.48,6.31,0.73,20.36,0.41,1.5,21.01
43.66,9.6,17.43,9.31,5.42,0.74,20.95,0.42,1.44,26.2
48.59,9.64,17.46,9.97,6.6,0.72,21.06,0.42,1.43,29.15
44.48,9.55,17.34,9.74,7.32,0.74,19.69,0.41,1.5,26.68
47.49,9.65,17.4,9.52,8.29,0.72,20.17,0.41,1.44,28.5
50.22,9.63,17.41,10.06,9.49,0.75,20.62,0.4,1.45,30.13
48.25,9.64,17.38,9.21,11.26,0.74,20.23,0.4,1.43,28.95
51,9.61,17.3,9.83,11.87,0.76,20.22,0.41,1.44,30.6
50.84,9.57,17.43,9.37,9.16,0.74,20.32,0.41,1.46,30.51
49.55,9.58,17.42,9.89,9.32,0.74,20.48,0.41,1.44,29.73
45.82,9.64,17.34,9.71,9.78,0.74,20.74,0.42,1.48,27.49
45.77,9.52,17.38,9.51,9.48,0.74,20.95,0.41,1.43,27.46
42.89,9.57,17.42,9.76,7.45,0.74,20.48,0.41,1.42,25.73
47.54,9.6,17.43,9.82,7.26,0.76,21.12,0.42,1.42,28.52
43.13,9.61,17.39,9.05,6.71,0.73,20.2,0.42,1.46,25.88
36.34,9.6,17.36,9.66,5.12,0.74,20.33,0.42,1.45,21.81
33.22,9.7,17.41,10.13,4.37,0.73,22.59,0.42,1.46,19.93
32.64,9.63,17.42,9.34,6.25,0.73,24.36,0.41,1.44,19.59
30.64,9.65,17.37,9.71,2.68,0.73,20.88,0.4,1.46,18.39
32.02,9.6,17.39,9.51,4.11,0.73,20.31,0.4,1.47,19.21
28.38,9.67,17.34,9.49,8.48,0.72,21.04,0.41,1.45,17.03
26.55,9.57,17.37,9.39,7.37,0.74,20.82,0.42,1.47,15.93
24.01,9.61,17.47,9.23,7.38,0.74,20.68,0.41,1.41,14.41
22.21,9.64,17.39,9.61,5.48,0.74,20.83,0.42,1.46,13.32
24.92,9.61,17.41,10.07,4.88,0.74,20.31,0.41,1.46,14.95
29.03,9.58,17.4,10.34,3.38,0.75,20.73,0.41,1.43,17.42
30.76,9.61,17.43,9.99,3.57,0.74,20.75,0.42,1.45,18.46
31.32,9.59,17.32,9.71,4.47,0.73,20.94,0.41,1.46,18.79
35.67,9.62,17.35,9.88,6.92,0.74,20.84,0.41,1.45,21.4
41.2,9.54,17.26,10.21,9.33,0.75,20.48,0.41,1.43,24.72
42.15,9.61,17.42,9.5,10.16,0.71,20.45,0.41,1.45,25.3
40.74,9.53,17.45,9.57,11.47,0.74,21.08,0.41,1.44,24.45
47.69,9.6,17.41,9.54,6.6,0.75,20.76,0.41,1.46,28.61
51.24,9.61,17.41,9.73,5.6,0.75,20.64,0.41,1.45,30.74
46.94,9.57,17.42,9.76,5.6,0.73,20.86,0.42,1.43,28.16
48.06,9.63,17.42,9.47,6.93,0.75,20.68,0.41,1.41,28.84
50.67,9.71,17.43,9.41,4.63,0.74,20.64,0.42,1.45,30.41
52.5,9.58,17.39,9.34,3.04,0.75,20.58,0.41,1.46,31.5
46.48,9.66,17.41,9.49,2.05,0.76,20.75,0.41,1.43,27.89
41.84,9.61,17.28,9.49,1.03,0.74,20.82,0.4,1.45,25.11
44.08,9.62,17.44,9.96,2.54,0.75,22.76,0.41,1.44,26.44
46.45,8.84,16.74,11.16,0.11,0.74,24.33,0.41,1.46,27.88
48.16,7.6,15.27,14.72,None,0.73,24.73,0.41,1.42,28.9
44.35,7.62,15.47,14.57,None,0.74,23.58,0.42,1.42,26.61
43.51,7.71,15.44,14.64,7.03,0.74,23.13,0.4,1.46,26.1
41.77,7.54,15.5,14.51,5.41,0.74,25.93,0.41,1.46,25.06
41.48,8.74,14.54,14.69,4.5,0.74,21.8,0.42,1.44,24.89
48.88,9.64,13.64,14.47,0.83,0.73,20.7,0.42,1.45,29.33
45.68,9.56,13.67,14.59,4.04,0.73,20.57,0.42,1.46,27.4
51.49,9.57,13.71,14.75,3.17,0.74,20.66,0.42,1.47,30.89
55.88,9.59,13.55,14.66,2.15,0.73,20.62,0.42,1.44,33.53
62.12,9.56,13.71,14.72,2.15,0.75,20.97,0.41,1.43,37.27
65.64,9.61,13.7,14.71,4.31,0.76,20.8,0.41,1.46,39.38
60.85,9.58,13.71,14.45,4.77,0.75,20.92,0.41,1.46,36.5
62.25,9.58,13.71,14.78,3.44,0.74,20.86,0.41,1.47,37.35
65.6,9.61,13.67,14.58,3.34,0.74,21.26,0.41,1.43,39.36
62.22,9.52,13.68,14.62,8.55,0.77,20.84,0.42,1.45,37.34
54.66,9.61,13.61,14.3,8.49,0.73,20.59,0.4,1.43,32.8
51.73,9.55,13.78,14.76,9.71,0.74,20.33,0.41,1.47,31.04
47.66,9.64,13.72,14.73,11.13,0.75,20.14,0.41,1.48,28.59
52.61,9.59,13.74,14.54,6.44,0.74,20.84,0.42,1.46,31.57
48.86,9.66,13.68,14.63,4.79,0.73,20.29,0.42,1.45,29.31
46.68,9.59,13.73,14.72,5.25,0.75,20.6,0.41,1.42,28.01
40.83,9.56,13.77,14.75,3.76,0.73,20.58,0.43,1.49,24.5
35.69,9.56,13.73,14.53,6.25,0.74,19.77,0.41,1.43,21.42
36.93,8.43,12.97,13.49,5.06,0.74,25.68,0.41,1.45,22.16
38.44,6.61,11.7,11.63,6.84,0.75,26.7,0.41,1.46,23.07
35.03,6.56,11.57,11.52,7.08,0.74,25.98,0.43,1.48,21.02
37.33,6.61,11.71,11.71,6.57,0.73,29.66,0.41,1.45,22.39
39.03,7.79,13.32,13.05,7.21,0.74,27.04,0.42,1.45,23.41
37.71,9.63,15.82,15.48,6.66,0.73,21.57,0.4,1.44,22.62
37.13,9.58,15.88,15.79,4.09,0.74,20.47,0.41,1.47,22.28
39.17,9.63,15.63,15.63,5.36,0.74,20.43,0.4,1.45,23.5
46.57,9.64,15.75,15.46,2.27,0.73,20.62,0.41,1.44,27.95
51.48,9.62,15.68,15.83,2.15,0.74,20.81,0.4,1.44,30.89
55.07,9.58,15.89,15.61,2.96,0.72,21.61,0.41,1.44,33.05
57.13,9.58,15.7,15.71,5.22,0.74,20.91,0.41,1.45,34.28
56.23,9.54,15.73,15.54,6.16,0.74,20.92,0.41,1.46,33.74
57.99,9.49,15.55,15.43,6.37,0.73,20.09,0.41,1.46,34.8
63.91,9.56,15.64,15.49,7.48,0.74,20.66,0.42,1.44,38.35
66.21,9.58,15.88,15.3,9.43,0.73,20.2,0.4,1.48,39.73
62.58,9.62,15.79,15.98,7.23,0.74,20.57,0.42,1.45,37.55
67.97,9.62,15.86,15.31,9.05,0.75,20.4,0.41,1.46,40.78
69.75,9.6,15.73,15.54,10.05,0.74,20.08,0.41,1.44,41.85
72.72,9.57,15.9,15.61,12.01,0.76,20.59,0.42,1.44,43.63
75.88,9.62,15.77,15.5,10.58,0.76,20.39,0.42,1.44,45.53
71.67,9.61,15.57,15.68,10.18,0.76,20.92,0.41,1.45,43
63.42,9.63,16.01,15.49,9.71,0.74,20.84,0.41,1.44,38.05
55.84,9.55,15.75,15.53,7.84,0.74,20.62,0.41,1.47,33.5
51.37,9.62,15.86,15.84,10.09,0.75,21.24,0.41,1.46,30.82
56.55,9.64,15.46,15.44,8.79,0.74,21.12,0.41,1.46,33.93
57.25,9.67,15.52,15.52,9.36,0.73,21.4,0.41,1.44,34.35
55.23,9.56,15.84,15.76,10.58,0.75,21.04,0.41,1.47,33.14
51.3,9.6,16.07,15.62,12.3,0.72,21.69,0.42,1.46,30.78
50.17,9.59,15.74,15.35,11.71,0.73,21.17,0.41,1.44,30.1
51.73,9.62,15.87,15.52,9.07,0.75,20.83,0.41,1.46,31.04
51.68,9.6,15.44,15.64,5.9,0.75,20.53,0.42,1.44,31.01
61.14,9.59,15.65,15.52,6.84,0.73,20.53,0.41,1.45,36.68
69.66,9.62,15.63,15.4,7.57,0.74,20.17,0.41,1.46,41.8
69.39,9.54,15.75,15.45,7.79,0.75,20.91,0.42,1.44,41.63
73.24,9.67,15.6,15.88,5.9,0.75,20.55,0.42,1.46,43.94
74.25,9.65,15.46,15.64,5.09,0.73,21.3,0.42,1.44,44.55
82.48,9.63,15.69,15.73,6.46,0.74,20.71,0.41,1.45,49.49
89.65,9.57,15.54,15.65,4.09,0.74,20.99,0.41,1.45,53.79
91.94,9.64,15.48,15.54,5.67,0.74,20.43,0.42,1.45,55.16
89.96,9.61,15.39,16,7.12,0.75,21.12,0.41,1.44,53.97
90.07,9.55,15.73,15.47,10.65,0.74,19.66,0.41,1.45,54.04
91.8,9.61,15.8,15.92,11.7,0.74,20.48,0.41,1.43,55.08
86.91,9.55,15.72,15.74,3.21,0.73,20.64,0.42,1.47,52.14
64.81,9.56,15.61,15.59,2.93,0.74,20.06,0.41,1.41,38.88
58.27,9.68,15.71,15.75,1.41,0.74,19.47,0.42,1.46,34.96
56.34,9.6,15.72,15.92,3.66,0.74,20.44,0.41,1.47,33.8
49.17,9.54,15.71,15.91,6.46,0.73,20.73,0.41,1.45,29.5
42.88,9.54,15.96,15.63,5.85,0.72,20.88,0.4,1.46,25.73
49.13,9.57,15.69,15.84,5.86,0.73,20.5,0.41,1.45,29.48
52.91,9.51,15.75,16.01,6.48,0.72,21.04,0.4,1.45,31.75
54.43,9.59,16.1,15.6,5.86,0.74,21.08,0.41,1.43,32.66
56.3,9.62,15.53,15.76,6.45,0.74,21.13,0.41,1.48,33.78
65.51,9.57,15.84,15.64,4.45,0.73,21.44,0.41,1.48,39.31
68,9.67,15.92,15.92,4.09,0.75,20.85,0.42,1.43,40.8
64.87,9.58,15.69,15.48,6.64,0.73,20.78,0.41,1.49,38.92
61.46,9.57,15.73,15.54,7.07,0.73,20.6,0.41,1.41,36.88
60.06,9.63,15.69,15.81,7.27,0.74,20.55,0.41,1.45,36.03
54.39,9.55,15.72,15.47,7.63,0.73,20.19,0.41,1.47,32.63
51.12,9.62,15.52,15.54,3.71,0.74,20,0.41,1.43,30.67
47.73,9.6,15.72,15.91,4.47,0.74,19.76,None,None,28.64
157.31,9.63,15.74,15.8,8.94,0.74,13.11,0.42,1.45,94.42
212.21,9.61,15.52,15.63,12.04,0.74,21.18,0.4,1.46,127.32
18.18,9.54,15.82,15.76,11.73,0.73,20.45,0.42,1.49,10.9
20.52,9.56,15.65,15.55,6.35,0.74,20.85,0.42,1.44,12.31
25.41,9.57,15.57,15.69,5.74,0.72,20.97,0.41,1.43,15.25
39.02,9.56,15.88,15.48,6.77,0.75,20.72,0.41,1.45,23.41
54.38,9.64,15.76,15.75,6.74,0.73,20.6,0.42,1.45,32.63
73.27,9.62,15.53,15.37,4.53,0.75,20.58,0.42,1.46,43.96
78.14,9.57,15.87,15.46,4.28,0.75,20.65,0.4,1.47,46.88
60.08,9.65,16,15.79,3.69,0.74,20.52,0.41,1.42,36.05
26.72,9.72,14.12,11.77,2.33,0.72,20.98,0.42,1.45,16.03
17.27,None,13.76,10.46,4.39,0.73,20.31,0.42,1.43,10.36
27.46,None,13.66,10.5,3.17,0.76,20.29,0.41,1.44,16.48
33.24,None,13.71,10.44,2.53,0.73,20.36,0.41,1.46,19.94
46.78,None,13.61,10.32,2.29,0.75,20.15,0.41,1.46,28.07
42.04,None,13.75,10.3,2.99,0.76,20.94,0.41,1.43,25.22
33.85,None,13.67,10.21,2.24,0.75,20.7,0.41,1.45,20.31
53.44,None,13.73,10.41,3.11,0.73,22.67,0.42,1.45,32.06
57.04,None,13.75,10.36,3.83,0.73,21.13,0.42,1.45,34.23
52.65,None,13.64,10.34,3.27,0.73,20.48,0.41,1.55,31.59
None,None,None,None,None,None,None,None,None,None
212.42,None,13.81,None,None,0.74,1.58,0.39,1.53,129.62
223.95,None,13.84,10.47,6.79,0.75,17.61,0.41,1.45,134.37
63.7,None,13.48,10.52,6.77,0.75,21.97,0.42,1.47,38.22
3.54,None,13.71,10.36,6.54,0.73,20.66,0.41,1.48,2.12
8.06,None,13.65,10.4,6.13,0.74,20.91,0.42,1.42,4.84
21.19,None,13.69,10.32,6.35,0.72,20.7,0.42,1.44,12.71
25.33,None,13.63,10.36,5.25,0.75,20.39,0.41,1.47,15.2
34.1,None,13.6,10.3,5.62,0.74,20.11,0.41,1.45,20.46
40.15,None,13.62,10.4,6.53,0.73,20.52,0.41,1.46,24.09
35.29,None,13.68,10.46,6.07,0.74,20.96,0.42,1.45,21.18
47.04,None,13.54,10.24,5.06,0.74,20.61,0.42,1.43,28.22
36.19,None,15.62,13.29,4.29,0.74,20.93,0.4,1.46,21.71
40.71,None,17.98,16.45,8.06,0.74,21.14,0.41,1.43,24.42
38.33,None,18.09,16.82,5.91,0.76,20.57,0.42,1.46,23
18.49,None,17.86,16.03,4.89,0.76,20.51,0.41,1.44,11.09
51.21,None,17.9,16.53,6.12,0.72,17.04,0.42,1.46,30.72
88.62,22.02,17.9,16.39,8.76,0.74,21.02,0.4,1.43,53.17
70.19,9.68,15.51,12.58,7.97,0.73,38.09,0.41,1.44,42.12
41.27,9.66,15.61,12.63,8.37,0.73,42.22,0.41,1.44,24.76
31.27,9.63,15.43,12.58,6.3,0.74,23.03,0.41,1.4,18.77
39.48,9.63,15.5,12.37,4.58,0.73,20.42,0.42,1.42,23.69
39.2,9.79,15.06,12.78,2.92,0.71,20.52,0.41,1.49,23.52
45.07,9.66,15.42,12.47,6.15,0.74,20.63,0.41,1.48,27.04
51.48,9.55,15.53,12.6,6.79,0.72,19.32,0.41,1.45,30.89
57.91,9.4,15.52,12.38,7.33,0.77,20.97,0.42,1.46,34.75
56.2,9.57,15.42,12.74,4.14,0.74,20.91,0.41,1.43,33.72
42.84,9.54,15.74,12.58,4.07,0.73,20.59,0.41,1.47,25.7
31.27,9.54,15.77,12.53,4.99,0.74,20.91,0.41,1.44,18.76
32.5,9.51,15.19,12.14,4.57,0.75,20.72,0.41,1.46,19.5
33.99,9.51,15.73,12.66,9.67,0.72,20.75,0.4,1.43,20.39
33.35,9.52,15.69,12.29,10.46,0.74,20.04,0.41,1.47,20.01
32.98,9.68,15.44,12.57,10.77,0.73,20.46,0.41,1.42,19.79
39.34,9.64,15.77,12.31,11.49,0.73,20.72,0.42,1.47,23.61
38.17,9.46,15.51,12.53,4.1,0.75,21.11,0.41,1.42,22.91
36.65,9.62,15.68,12.43,3.1,0.73,20.54,0.42,1.44,21.99
29.25,9.73,15.5,12.54,2.75,0.72,20.12,0.42,1.46,17.55
22.49,9.51,15.66,12.77,1.87,0.72,20.77,0.41,1.44,13.5
22.87,9.57,15.79,12.54,9.87,0.75,20.46,0.41,1.45,13.73
25.99,9.65,15.74,12.63,11.88,0.74,25.03,0.4,1.42,15.6
28.08,9.48,15.49,12.93,17.24,0.73,22.95,0.41,1.5,16.84
29.6,9.61,15.84,12.3,19.49,0.73,21.15,0.41,1.44,17.76
27.54,9.6,15.9,12.4,3.56,0.74,20.76,0.41,1.44,16.52
26.62,9.72,15.78,12.39,2.15,0.74,19.94,0.41,1.46,15.97
23.61,9.62,15.65,12.58,2.08,0.74,20.54,0.41,1.45,14.17
23.92,9.67,15.89,12.5,0.81,0.75,20.14,0.41,1.44,14.35
24.19,9.67,15.56,12.49,3.9,0.74,20.08,0.4,1.42,14.52
29.1,9.62,15.7,12.45,5.23,0.74,20.7,0.42,1.41,17.46
30.68,9.65,15.23,12.64,5.01,0.74,20.58,0.42,1.45,18.41
35.01,9.66,15.91,12.51,5.46,0.74,20.54,0.42,1.45,21
40.36,9.7,15.29,12.68,1.75,0.75,20.51,0.42,1.45,24.22
38.36,9.71,15.32,12.55,1.85,0.73,20.41,0.41,1.44,23.02
40.22,9.52,15.59,12.72,1.1,0.74,20.29,0.41,1.48,24.13
39.38,9.58,15.48,12.37,1.4,0.73,20.64,0.42,1.46,23.62
38.9,9.49,15.68,12.73,3.54,0.75,20.49,0.4,1.44,23.34
39.7,9.52,15.24,12.58,3.28,0.75,20.52,0.41,1.43,23.82
36.73,9.55,16.02,12.52,3.87,0.74,19.81,0.41,1.45,22.04
37.14,9.57,15.59,12.67,3.63,0.74,20.53,0.41,1.45,22.29
38.81,9.7,15.59,12.64,7.63,0.73,20.19,0.41,1.44,23.29
42.51,9.46,15.8,12.63,7.19,0.74,20.88,0.41,1.46,25.51
42.72,9.64,15.85,12.51,6.79,0.75,20.26,0.41,1.5,25.64
36.56,9.55,15.27,12.22,6.4,0.76,20.46,0.42,1.45,21.94
36.7,9.7,15.44,12.31,5.54,0.72,20.13,0.4,1.44,22.02
29.91,9.56,15.77,12.61,6.91,0.74,20.33,0.42,1.48,17.95
26.21,9.68,15.65,12.55,6.61,0.75,20.41,0.4,1.46,15.73
29.2,9.68,15.88,12.54,7.7,0.74,20.55,0.42,1.47,17.52
28.58,9.72,15.59,12.41,3.08,0.71,20.7,0.41,1.46,17.15
30.92,9.56,15.62,12.53,2.85,0.74,20.15,0.41,1.48,18.55
28.95,9.42,15.67,12.29,2.36,0.72,20.05,0.41,1.46,17.37
26.75,9.68,15.63,12.47,2.04,0.74,22.04,0.41,1.43,16.04
27.98,9.55,15.97,12.65,6.36,0.74,20.83,0.42,1.46,16.78
25,9.85,15.76,12.51,7.87,0.74,20.57,0.4,1.48,15
23.79,9.49,15.66,12.32,8.38,0.74,21,0.41,1.47,14.28
27.31,9.5,15.93,12.32,8.32,0.74,20.65,0.41,1.45,16.38
32.54,9.71,15.67,12.44,5.93,0.73,20.17,0.41,1.45,19.52
31.41,9.57,15.61,12.74,6.2,0.76,20.21,0.42,1.46,18.85
32.37,9.71,15.87,12.4,5.97,0.75,20.2,0.41,1.45,19.42
31.14,9.8,15.88,12.15,6.37,0.73,20.08,0.41,1.5,18.69
29.4,9.43,15.48,12.7,6.81,0.73,20.45,0.41,1.48,17.64
32.51,9.7,15.61,12.6,6.55,0.74,21.9,0.41,1.44,19.5
35.2,9.76,15.82,12.47,7.66,0.74,21.03,0.4,1.47,21.12
36.05,9.67,15.52,12.65,6.96,0.74,21.13,0.41,1.43,21.63
42.21,9.57,15.44,12.71,6.43,0.73,20.65,0.41,1.43,25.33
46.02,9.68,15.33,12.59,5.93,0.76,21.35,0.41,1.45,27.62
46.72,9.79,16.03,12.32,6,0.74,21.71,0.41,1.49,28.04
45.03,9.8,15.39,12.76,6.62,0.75,20.74,0.41,1.47,27.02
45.04,9.59,16.03,12.68,3.85,0.73,20.39,0.42,1.45,27.02
40,9.61,15.78,12.47,4.64,0.74,20.55,0.41,1.45,24
40.78,9.54,15.77,12.36,4.93,0.74,20.68,0.41,1.48,24.47
34.51,9.63,15.54,12.61,5,0.74,21.18,0.4,1.43,20.7
34.53,9.7,15.88,12.58,5.45,0.73,21.38,0.41,1.47,20.72
38.99,9.71,15.46,12.28,4.25,0.74,20.85,0.4,1.46,23.39
40.46,9.63,15.88,12.8,4.24,0.74,21.09,0.41,1.46,24.27
36.85,9.52,15.7,12.31,3.27,0.75,20.62,0.4,1.47,22.11
36.55,9.59,15.3,12.05,6.99,0.74,20.58,0.41,1.44,21.93
48.33,9.54,15.62,12.5,5.85,0.73,20.82,0.41,1.46,29
58.44,9.64,15.45,12.69,7.5,0.73,20.01,0.42,1.42,35.06
67.26,9.64,15.65,12.9,7.65,0.73,20.42,0.41,1.46,40.36
69.49,9.63,15.56,12.69,6.05,0.73,19.67,0.42,1.44,41.69
70.99,9.63,15.45,12.69,5.89,0.73,19.64,0.42,1.46,42.59
70.66,9.81,15.3,12.37,6.36,0.75,20,0.41,1.44,42.4
73.1,9.57,15.75,12.36,5.85,0.74,20.31,0.41,1.43,43.86
73.04,9.77,15.9,12.62,2.28,0.73,21.06,0.41,1.45,43.83
62.42,9.8,15.74,12.6,0.92,0.74,21.22,0.41,1.43,37.45
52.24,9.63,15.71,12.62,1.78,0.74,21.38,0.41,1.48,31.35
40.71,9.59,15.56,12.57,1.92,0.76,20.82,0.42,1.44,24.43
33.53,9.55,15.89,12.66,6.28,0.77,21.28,0.42,1.4,20.12
39.14,9.62,15.6,12.57,6.82,0.73,21.13,0.4,1.47,23.49
45.02,9.62,15.5,12.69,6.61,0.74,21.09,0.42,1.46,27.01
55.04,9.83,15.97,12.53,6.37,0.74,21.14,0.41,1.45,33.03
60.9,9.76,15.72,12.33,4.59,0.72,20.19,0.41,1.48,36.54
62.56,9.7,15.8,12.17,5.36,0.75,19.24,0.41,1.44,37.53
58.83,9.87,15.46,12.54,None,0.74,4.36,0.41,1.44,35.25
27,9.63,15.54,12.41,3.74,0.73,23.07,0.43,1.44,16.2
42.48,9.65,15.49,12.59,4.51,0.72,22.2,0.41,1.44,25.49
42.94,9.72,15.67,12.54,8.49,0.73,21.53,0.41,1.44,25.77
46.4,9.7,15.68,12.72,7.07,0.73,21.14,0.41,1.42,27.84
42.06,9.59,15.6,12.73,6.86,0.75,22.52,0.41,1.45,24.35
50.38,9.82,15.85,13.22,10.05,0.72,26.37,0.4,1.45,35.7
62.74,9.44,15.47,12.23,6.98,0.73,20.6,0.41,1.45,37.64
47.95,9.64,15.78,12.46,6.03,0.75,20.37,0.41,1.45,28.77
45.26,9.54,15.61,12.28,4.87,0.74,20.91,0.4,1.45,27.15
39.85,9.61,15.27,12.32,5.08,0.75,20.69,0.41,1.44,23.91
41.34,9.62,15.97,12.49,5,0.73,20.49,0.43,1.43,24.8
43.29,9.54,15.54,12.5,4.67,0.73,20.55,0.42,1.44,25.98
40.64,9.63,16.03,12.6,5.02,0.74,20.44,0.41,1.47,24.38
41.64,9.7,15.72,12.6,4.92,0.73,20.5,0.42,1.44,24.98
44.29,9.72,15.47,12.52,4.91,0.73,21.02,0.41,1.42,26.57
45.12,9.67,15.89,12.81,4.87,0.74,20.49,0.41,1.45,27.07
42.9,9.7,15.41,12.45,5.11,0.74,21.14,0.41,1.43,25.74
42.8,9.63,15.49,12.7,5.06,0.75,20.6,0.4,1.45,25.68
47.1,9.56,15.68,12.8,4.58,0.74,20.8,0.42,1.5,28.26
42.46,9.58,15.56,12.7,4.23,0.75,20.02,0.41,1.45,25.48
37.77,9.54,15.8,12.76,3.81,0.74,21,0.41,1.48,22.66
37.29,9.51,15.78,12.48,3.52,0.74,20.92,0.41,1.47,22.38
44.6,9.6,15.69,12.69,7.65,0.74,21.32,0.4,1.45,26.76
